T,P,DD,Td,result 
32.1,756.8,Wind blowing from the south-east,25.1,3 m/s (Gentle breeze)
30.0,758.2,Wind blowing from the south-east,24.6,3 m/s (Gentle breeze)
25.8,758.3,Wind blowing from the south,24.0,1 m/s (Light air)
25.4,757.9,Wind blowing from the east-southeast,24.0,1 m/s (Light air)
27.6,758.2,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
28.0,758.3,Wind blowing from the east-southeast,25.3,2 m/s (Light breeze)
28.8,756.8,Wind blowing from the south,25.9,2 m/s (Light breeze)
30.0,756.1,Wind blowing from the south-southeast,24.9,3 m/s (Gentle breeze)
28.6,757.3,Wind blowing from the east,23.4,2 m/s (Light breeze)
31.5,758.5,Wind blowing from the south-east,25.5,3 m/s (Gentle breeze)
27.4,758.1,Wind blowing from the south-east,25.0,2 m/s (Light breeze)
26.8,757.1,Wind blowing from the south,25.0,1 m/s (Light air)
27.4,757.9,Wind blowing from the east-southeast,24.8,1 m/s (Light air)
27.6,758.6,Wind blowing from the south-east,24.9,2 m/s (Light breeze)
28.4,757.4,Wind blowing from the east-southeast,25.2,2 m/s (Light breeze)
29.9,756.7,Wind blowing from the east,24.8,2 m/s (Light breeze)
28.2,757.2,Wind blowing from the south-east,25.2,2 m/s (Light breeze)
30.2,758.9,Wind blowing from the east,25.1,2 m/s (Light breeze)
25.4,758.1,Wind blowing from the south-southwest,24.3,1 m/s (Light air)
25.6,757.3,Wind blowing from the west-southwest,24.2,2 m/s (Light breeze)
26.4,757.6,Wind blowing from the west-northwest,24.5,2 m/s (Light breeze)
26.6,758.3,Wind blowing from the south-east,24.7,1 m/s (Light air)
27.6,757.7,Wind blowing from the north-northwest,25.7,1 m/s (Light air)
30.2,756.6,Wind blowing from the south-east,24.8,3 m/s (Gentle breeze)
32.4,756.8,Wind blowing from the south-southeast,25.5,3 m/s (Gentle breeze)
31.4,758.5,Wind blowing from the south-east,25.5,3 m/s (Gentle breeze)
25.8,758.2,Wind blowing from the south-east,24.2,1 m/s (Light air)
26.5,757.3,Wind blowing from the south,23.9,1 m/s (Light air)
27.4,757.6,Wind blowing from the north-east,24.7,1 m/s (Light air)
28.1,758.5,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
29.3,757.3,Wind blowing from the north-east,25.3,2 m/s (Light breeze)
29.6,756.2,Wind blowing from the east-northeast,24.5,2 m/s (Light breeze)
33.0,756.7,Wind blowing from the south-east,25.0,3 m/s (Gentle breeze)
31.8,758.3,Wind blowing from the north-east,24.8,2 m/s (Light breeze)
26.6,758.2,Wind blowing from the south,23.3,1 m/s (Light air)
27.1,757.3,Wind blowing from the south-southeast,24.7,2 m/s (Light breeze)
27.8,757.7,Wind blowing from the south,25.4,2 m/s (Light breeze)
28.6,758.2,Wind blowing from the south-southeast,25.5,2 m/s (Light breeze)
29.4,756.9,Wind blowing from the south-east,25.4,2 m/s (Light breeze)
30.1,755.4,Wind blowing from the north-northeast,25.4,2 m/s (Light breeze)
33.4,755.7,Wind blowing from the south-east,25.4,3 m/s (Gentle breeze)
31.6,757.6,Wind blowing from the south-east,25.2,3 m/s (Gentle breeze)
27.0,757.9,"Calm, no wind",24.6,0 m/s (Calm)
26.8,756.7,Wind blowing from the east,25.5,1 m/s (Light air)
27.2,757.3,Wind blowing from the south-southeast,25.0,2 m/s (Light breeze)
27.2,758.2,Wind blowing from the south-east,23.3,2 m/s (Light breeze)
28.2,757.0,Wind blowing from the east-southeast,25.2,2 m/s (Light breeze)
28.4,755.5,Wind blowing from the east-northeast,26.3,2 m/s (Light breeze)
33.2,755.5,Wind blowing from the east-northeast,25.2,2 m/s (Light breeze)
31.3,757.5,Wind blowing from the south-southeast,25.7,3 m/s (Gentle breeze)
26.5,757.3,Wind blowing from the south-southeast,24.7,1 m/s (Light air)
25.6,756.8,Wind blowing from the south,24.5,1 m/s (Light air)
26.4,757.4,Wind blowing from the west-northwest,25.0,2 m/s (Light breeze)
26.4,758.2,Wind blowing from the south-southeast,24.8,1 m/s (Light air)
26.6,757.2,Wind blowing from the east-northeast,25.0,1 m/s (Light air)
27.2,756.8,Wind blowing from the east-southeast,24.5,1 m/s (Light air)
32.6,756.3,Wind blowing from the south,25.1,3 m/s (Gentle breeze)
30.4,757.4,Wind blowing from the south-east,24.4,3 m/s (Gentle breeze)
25.6,757.5,Wind blowing from the west-southwest,23.5,2 m/s (Light breeze)
25.2,756.7,Wind blowing from the south-east,23.5,1 m/s (Light air)
26.0,757.2,Wind blowing from the east,25.2,1 m/s (Light air)
27.4,757.6,Wind blowing from the south,25.8,1 m/s (Light air)
27.8,757.0,Wind blowing from the south-southeast,25.9,2 m/s (Light breeze)
28.2,755.6,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
26.6,756.1,Wind blowing from the north,23.7,1 m/s (Light air)
32.6,757.6,Wind blowing from the south-southeast,25.3,3 m/s (Gentle breeze)
27.8,757.3,Wind blowing from the north,25.4,1 m/s (Light air)
27.4,756.4,Wind blowing from the south-southeast,25.5,2 m/s (Light breeze)
28.0,757.0,Wind blowing from the east-southeast,25.3,2 m/s (Light breeze)
28.6,757.6,Wind blowing from the east-northeast,25.7,2 m/s (Light breeze)
29.6,756.6,Wind blowing from the south-southeast,24.2,3 m/s (Gentle breeze)
31.4,755.2,Wind blowing from the south-east,24.7,3 m/s (Gentle breeze)
33.0,755.6,Wind blowing from the south-east,25.0,3 m/s (Gentle breeze)
31.2,757.7,Wind blowing from the south-east,25.9,3 m/s (Gentle breeze)
26.6,757.4,Wind blowing from the south-east,24.7,1 m/s (Light air)
26.2,756.4,Wind blowing from the north-northeast,24.3,1 m/s (Light air)
26.8,757.3,Wind blowing from the north,24.9,1 m/s (Light air)
27.2,757.8,Wind blowing from the south-east,25.0,2 m/s (Light breeze)
27.4,757.0,Wind blowing from the north-west,24.4,2 m/s (Light breeze)
29.2,755.8,Wind blowing from the north-northeast,25.4,2 m/s (Light breeze)
31.8,755.8,Wind blowing from the south-east,25.5,3 m/s (Gentle breeze)
31.3,757.7,Wind blowing from the south-east,25.4,3 m/s (Gentle breeze)
26.0,757.2,Wind blowing from the south-southeast,24.6,1 m/s (Light air)
25.4,756.7,Wind blowing from the south,24.3,1 m/s (Light air)
25.8,757.6,Wind blowing from the south,24.7,1 m/s (Light air)
25.4,758.1,"Calm, no wind",24.6,0 m/s (Calm)
29.2,757.5,Wind blowing from the south-west,24.3,2 m/s (Light breeze)
31.0,756.1,Wind blowing from the north-east,25.1,2 m/s (Light breeze)
30.8,756.6,Wind blowing from the east,25.2,2 m/s (Light breeze)
31.2,758.4,Wind blowing from the east,25.0,2 m/s (Light breeze)
27.2,758.3,Wind blowing from the south-southwest,23.9,2 m/s (Light breeze)
26.7,757.1,Wind blowing from the south-southeast,24.5,1 m/s (Light air)
27.0,757.9,Wind blowing from the south,24.0,2 m/s (Light breeze)
27.8,758.4,Wind blowing from the south,24.8,2 m/s (Light breeze)
28.0,757.4,Wind blowing from the east-southeast,23.6,2 m/s (Light breeze)
28.0,756.1,Wind blowing from the east-northeast,23.2,2 m/s (Light breeze)
33.2,756.6,Wind blowing from the north-east,24.0,3 m/s (Gentle breeze)
31.0,758.3,Wind blowing from the north,24.2,2 m/s (Light breeze)
26.4,758.4,Wind blowing from the south-southeast,23.9,2 m/s (Light breeze)
26.8,757.3,Wind blowing from the south,24.3,1 m/s (Light air)
27.0,757.9,Wind blowing from the south-southeast,22.7,2 m/s (Light breeze)
28.6,758.5,Wind blowing from the north-northwest,24.5,2 m/s (Light breeze)
29.2,757.3,Wind blowing from the north-east,24.6,2 m/s (Light breeze)
32.4,755.8,Wind blowing from the south-southeast,22.9,3 m/s (Gentle breeze)
33.4,756.5,Wind blowing from the east-southeast,23.8,3 m/s (Gentle breeze)
31.4,757.8,Wind blowing from the north,23.3,3 m/s (Gentle breeze)
26.7,757.8,"Calm, no wind",24.2,0 m/s (Calm)
26.6,757.4,Wind blowing from the north-east,23.9,1 m/s (Light air)
28.0,757.3,Wind blowing from the east-southeast,25.3,2 m/s (Light breeze)
28.8,758.1,Wind blowing from the south,24.2,2 m/s (Light breeze)
29.6,756.7,Wind blowing from the south-east,23.4,3 m/s (Gentle breeze)
31.9,755.6,Wind blowing from the east,22.8,2 m/s (Light breeze)
32.7,756.2,Wind blowing from the east-northeast,22.5,3 m/s (Gentle breeze)
30.7,757.7,Wind blowing from the east-northeast,24.0,2 m/s (Light breeze)
26.8,757.5,Wind blowing from the south-southeast,25.0,1 m/s (Light air)
26.6,756.5,Wind blowing from the south,25.0,1 m/s (Light air)
26.6,757.1,Wind blowing from the south,25.0,1 m/s (Light air)
27.1,757.0,Wind blowing from the south,24.8,1 m/s (Light air)
27.8,756.3,Wind blowing from the south,24.5,2 m/s (Light breeze)
29.7,756.1,Wind blowing from the south-east,24.6,2 m/s (Light breeze)
30.6,756.6,Wind blowing from the south-east,25.5,3 m/s (Gentle breeze)
29.7,758.5,Wind blowing from the south,25.1,2 m/s (Light breeze)
26.8,757.6,Wind blowing from the south-southeast,24.9,1 m/s (Light air)
25.7,756.6,Wind blowing from the east,24.5,1 m/s (Light air)
28.3,756.7,Wind blowing from the south-southeast,25.3,2 m/s (Light breeze)
28.7,757.2,Wind blowing from the east-northeast,25.2,2 m/s (Light breeze)
29.4,755.8,Wind blowing from the north,25.0,2 m/s (Light breeze)
31.6,754.6,Wind blowing from the north,24.5,2 m/s (Light breeze)
32.9,755.4,Wind blowing from the north-east,25.3,3 m/s (Gentle breeze)
32.5,757.3,Wind blowing from the north-east,25.0,3 m/s (Gentle breeze)
31.6,757.3,Wind blowing from the north-east,25.5,2 m/s (Light breeze)
27.0,757.2,Wind blowing from the south-east,25.1,1 m/s (Light air)
26.2,755.6,Wind blowing from the south,24.3,1 m/s (Light air)
27.0,756.4,Wind blowing from the east-southeast,25.4,1 m/s (Light air)
28.0,757.3,Wind blowing from the south-east,25.3,2 m/s (Light breeze)
29.2,756.8,Wind blowing from the north,24.9,2 m/s (Light breeze)
30.4,755.6,Wind blowing from the east,24.5,2 m/s (Light breeze)
29.2,756.1,Wind blowing from the west,22.5,3 m/s (Gentle breeze)
31.8,757.4,Wind blowing from the south-southeast,24.8,3 m/s (Gentle breeze)
27.6,757.6,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
27.6,756.6,Wind blowing from the north-east,25.2,1 m/s (Light air)
28.2,757.4,Wind blowing from the north-northwest,25.2,2 m/s (Light breeze)
28.4,757.9,"Calm, no wind",25.2,0 m/s (Calm)
29.2,756.8,Wind blowing from the north-northeast,24.6,2 m/s (Light breeze)
31.6,755.5,Wind blowing from the north,22.8,3 m/s (Gentle breeze)
33.5,755.8,Wind blowing from the north-northwest,24.0,3 m/s (Gentle breeze)
31.0,757.5,Wind blowing from the east-northeast,24.8,2 m/s (Light breeze)
26.2,756.9,Wind blowing from the south-east,24.8,1 m/s (Light air)
25.8,756.4,Wind blowing from the south-southeast,24.4,1 m/s (Light air)
26.2,757.3,Wind blowing from the south,24.6,1 m/s (Light air)
26.2,759.0,Wind blowing from the south-southeast,24.0,2 m/s (Light breeze)
26.8,757.8,Wind blowing from the south-southeast,25.2,1 m/s (Light air)
27.4,756.4,Wind blowing from the east-southeast,23.6,2 m/s (Light breeze)
30.4,756.6,Wind blowing from the north,25.6,2 m/s (Light breeze)
30.6,758.5,Wind blowing from the west-northwest,25.2,3 m/s (Gentle breeze)
26.0,757.0,Wind blowing from the north,24.1,1 m/s (Light air)
25.0,755.2,Wind blowing from the south,23.6,1 m/s (Light air)
24.3,756.4,Wind blowing from the south,22.5,1 m/s (Light air)
24.4,757.9,Wind blowing from the north-west,21.7,1 m/s (Light air)
24.1,758.8,Wind blowing from the east-southeast,22.7,1 m/s (Light air)
29.2,757.3,Wind blowing from the north-northwest,24.7,2 m/s (Light breeze)
29.4,757.5,Wind blowing from the north-west,25.1,2 m/s (Light breeze)
27.4,759.5,Wind blowing from the east,25.0,1 m/s (Light air)
26.4,759.1,Wind blowing from the north-west,25.0,1 m/s (Light air)
26.8,756.8,Wind blowing from the west-northwest,24.6,2 m/s (Light breeze)
26.9,757.8,Wind blowing from the west,24.4,2 m/s (Light breeze)
27.1,758.7,Wind blowing from the west,24.8,2 m/s (Light breeze)
28.6,757.6,Wind blowing from the west,24.8,2 m/s (Light breeze)
29.3,756.0,Wind blowing from the north-northwest,25.4,2 m/s (Light breeze)
32.4,756.7,Wind blowing from the south-southeast,24.9,3 m/s (Gentle breeze)
32.0,758.9,Wind blowing from the south-southeast,25.9,3 m/s (Gentle breeze)
27.8,758.6,Wind blowing from the south,25.4,2 m/s (Light breeze)
27.2,758.1,Wind blowing from the south-southeast,24.8,2 m/s (Light breeze)
28.2,758.7,Wind blowing from the south-southeast,25.5,2 m/s (Light breeze)
29.2,759.2,Wind blowing from the east-southeast,26.3,2 m/s (Light breeze)
30.2,758.0,Wind blowing from the south-east,26.1,2 m/s (Light breeze)
31.8,756.7,Wind blowing from the south-southeast,25.8,3 m/s (Gentle breeze)
33.4,756.7,Wind blowing from the south-east,26.0,3 m/s (Gentle breeze)
32.8,758.6,Wind blowing from the east-southeast,25.6,2 m/s (Light breeze)
28.5,758.0,Wind blowing from the east-southeast,25.0,2 m/s (Light breeze)
27.4,756.5,Wind blowing from the south-southeast,24.7,2 m/s (Light breeze)
27.8,757.0,Wind blowing from the east-southeast,24.8,2 m/s (Light breeze)
28.6,757.5,Wind blowing from the south-east,25.1,2 m/s (Light breeze)
29.6,757.1,Wind blowing from the east,25.0,2 m/s (Light breeze)
31.1,755.7,Wind blowing from the south-east,24.8,3 m/s (Gentle breeze)
33.1,756.0,Wind blowing from the south-east,25.1,3 m/s (Gentle breeze)
32.0,757.4,Wind blowing from the south-southeast,25.5,3 m/s (Gentle breeze)
29.0,757.0,Wind blowing from the south-east,25.2,2 m/s (Light breeze)
27.6,755.5,Wind blowing from the south-southeast,24.9,2 m/s (Light breeze)
27.8,756.2,Wind blowing from the south-southeast,24.8,2 m/s (Light breeze)
28.6,757.0,Wind blowing from the east,25.1,2 m/s (Light breeze)
29.5,756.1,Wind blowing from the east,25.1,2 m/s (Light breeze)
31.1,754.7,Wind blowing from the south-southeast,25.1,3 m/s (Gentle breeze)
32.9,755.3,Wind blowing from the south-east,25.3,3 m/s (Gentle breeze)
32.0,757.4,Wind blowing from the south,25.0,3 m/s (Gentle breeze)
27.3,757.6,Wind blowing from the south,24.4,2 m/s (Light breeze)
27.0,756.5,Wind blowing from the south,24.6,1 m/s (Light air)
27.4,756.9,Wind blowing from the south-east,24.7,2 m/s (Light breeze)
27.8,757.7,Wind blowing from the south-southeast,25.1,2 m/s (Light breeze)
28.5,757.2,Wind blowing from the south-east,24.6,2 m/s (Light breeze)
29.6,756.1,Wind blowing from the south,25.0,2 m/s (Light breeze)
32.6,756.1,Wind blowing from the east,24.2,2 m/s (Light breeze)
31.0,757.9,Wind blowing from the south-southeast,25.7,3 m/s (Gentle breeze)
26.2,758.3,Wind blowing from the south-southeast,24.8,1 m/s (Light air)
25.8,757.3,Wind blowing from the south-southeast,24.2,1 m/s (Light air)
26.1,757.9,Wind blowing from the south-southwest,24.7,1 m/s (Light air)
26.4,758.9,Wind blowing from the south-southeast,25.0,1 m/s (Light air)
27.9,758.2,Wind blowing from the east-southeast,24.9,2 m/s (Light breeze)
29.6,756.6,Wind blowing from the east-southeast,24.9,2 m/s (Light breeze)
28.4,756.5,Wind blowing from the north-northeast,24.6,2 m/s (Light breeze)
29.2,758.3,Wind blowing from the north-east,26.8,2 m/s (Light breeze)
26.8,758.4,Wind blowing from the south,24.9,1 m/s (Light air)
25.6,757.4,Wind blowing from the south-southwest,24.2,1 m/s (Light air)
27.2,758.2,Wind blowing from the south-east,25.3,1 m/s (Light air)
28.0,758.9,Wind blowing from the south,25.6,2 m/s (Light breeze)
28.6,758.3,Wind blowing from the south,25.4,2 m/s (Light breeze)
30.0,757.5,Wind blowing from the east-northeast,25.4,2 m/s (Light breeze)
30.9,757.3,Wind blowing from the south-east,24.7,3 m/s (Gentle breeze)
30.1,759.3,Wind blowing from the south,25.8,2 m/s (Light breeze)
26.5,758.8,Wind blowing from the south-southeast,25.3,1 m/s (Light air)
27.0,757.9,Wind blowing from the south,25.1,1 m/s (Light air)
28.0,758.5,Wind blowing from the south-east,26.1,2 m/s (Light breeze)
28.4,759.3,Wind blowing from the south,25.4,2 m/s (Light breeze)
29.1,758.2,Wind blowing from the east,26.0,2 m/s (Light breeze)
29.8,757.0,Wind blowing from the east-southeast,26.1,2 m/s (Light breeze)
28.2,757.7,Wind blowing from the east-northeast,25.0,2 m/s (Light breeze)
32.0,758.9,Wind blowing from the south-east,25.6,3 m/s (Gentle breeze)
27.2,758.9,Wind blowing from the south-east,25.0,2 m/s (Light breeze)
26.8,757.8,Wind blowing from the south,24.6,1 m/s (Light air)
27.8,758.1,Wind blowing from the south-southeast,25.5,2 m/s (Light breeze)
28.2,758.7,"Calm, no wind",24.7,0 m/s (Calm)
28.6,758.2,"Calm, no wind",24.0,0 m/s (Calm)
29.3,756.9,Wind blowing from the north-northeast,23.7,2 m/s (Light breeze)
33.6,756.7,Wind blowing from the east-northeast,24.2,2 m/s (Light breeze)
31.4,758.6,Wind blowing from the north,25.2,2 m/s (Light breeze)
27.6,757.9,Wind blowing from the south-southwest,24.6,2 m/s (Light breeze)
27.1,757.0,Wind blowing from the south-southeast,24.2,2 m/s (Light breeze)
28.6,757.9,Wind blowing from the south,25.4,2 m/s (Light breeze)
29.3,757.6,Wind blowing from the south-east,25.8,2 m/s (Light breeze)
30.5,756.7,Wind blowing from the north-west,25.8,2 m/s (Light breeze)
32.6,755.5,Wind blowing from the east-northeast,24.2,2 m/s (Light breeze)
33.5,756.7,Wind blowing from the east-northeast,26.0,2 m/s (Light breeze)
32.6,758.6,Wind blowing from the north-west,25.2,3 m/s (Gentle breeze)
28.0,758.2,Wind blowing from the south-southeast,26.1,2 m/s (Light breeze)
27.9,757.0,Wind blowing from the north-northwest,25.8,1 m/s (Light air)
28.5,757.3,Wind blowing from the east-northeast,25.8,2 m/s (Light breeze)
29.3,758.2,Wind blowing from the north-east,26.5,2 m/s (Light breeze)
29.9,756.7,Wind blowing from the north-east,26.6,2 m/s (Light breeze)
32.6,755.6,Wind blowing from the north-northeast,24.7,3 m/s (Gentle breeze)
33.7,756.9,Wind blowing from the east-southeast,25.2,2 m/s (Light breeze)
32.1,758.9,Wind blowing from the east,25.7,2 m/s (Light breeze)
27.5,758.7,Wind blowing from the north-west,25.9,1 m/s (Light air)
26.2,757.7,Wind blowing from the south-southwest,25.4,1 m/s (Light air)
27.0,758.1,Wind blowing from the south,25.1,1 m/s (Light air)
29.0,759.2,Wind blowing from the north-northwest,26.3,2 m/s (Light breeze)
29.4,757.8,Wind blowing from the north,26.3,2 m/s (Light breeze)
31.8,756.4,Wind blowing from the north,26.5,2 m/s (Light breeze)
33.4,757.3,Wind blowing from the north,27.1,2 m/s (Light breeze)
31.0,758.7,Wind blowing from the north-northeast,26.1,2 m/s (Light breeze)
27.1,758.3,Wind blowing from the west,25.6,2 m/s (Light breeze)
26.2,757.3,Wind blowing from the north-northwest,25.1,1 m/s (Light air)
25.6,757.6,Wind blowing from the north-northwest,24.5,1 m/s (Light air)
24.2,758.2,Wind blowing from the east,23.4,1 m/s (Light air)
30.5,756.4,Wind blowing from the north,26.5,2 m/s (Light breeze)
32.8,754.9,Wind blowing from the east,25.8,2 m/s (Light breeze)
33.6,755.8,Wind blowing from the east-southeast,25.5,2 m/s (Light breeze)
30.4,757.9,Wind blowing from the east,25.9,2 m/s (Light breeze)
27.8,757.6,Wind blowing from the south-southeast,24.3,2 m/s (Light breeze)
27.2,756.6,"Calm, no wind",23.9,0 m/s (Calm)
28.8,757.0,"Calm, no wind",23.2,0 m/s (Calm)
29.2,757.6,Wind blowing from the south-southeast,24.3,2 m/s (Light breeze)
29.8,756.4,Wind blowing from the south-southeast,24.4,3 m/s (Gentle breeze)
32.6,754.5,Wind blowing from the north-northwest,26.0,3 m/s (Gentle breeze)
36.0,754.8,Wind blowing from the west-northwest,25.5,3 m/s (Gentle breeze)
32.7,757.4,Wind blowing from the north-northwest,25.5,3 m/s (Gentle breeze)
28.1,757.4,Wind blowing from the west,26.0,2 m/s (Light breeze)
27.6,756.1,Wind blowing from the south-southwest,25.5,2 m/s (Light breeze)
28.2,756.1,Wind blowing from the south,25.8,2 m/s (Light breeze)
28.4,756.7,Wind blowing from the east-southeast,25.2,2 m/s (Light breeze)
29.0,755.4,Wind blowing from the east,25.7,2 m/s (Light breeze)
30.6,754.3,Wind blowing from the east,26.4,2 m/s (Light breeze)
32.0,755.2,Wind blowing from the north-northeast,24.6,3 m/s (Gentle breeze)
33.1,757.0,Wind blowing from the east-southeast,25.9,2 m/s (Light breeze)
27.6,757.0,"Calm, no wind",25.9,0 m/s (Calm)
27.0,755.5,Wind blowing from the south,24.8,1 m/s (Light air)
26.8,755.7,Wind blowing from the south,25.2,1 m/s (Light air)
26.6,756.8,Wind blowing from the south-southeast,24.7,1 m/s (Light air)
29.2,756.6,Wind blowing from the south-east,26.0,2 m/s (Light breeze)
32.0,754.6,Wind blowing from the east-northeast,26.5,2 m/s (Light breeze)
33.0,755.0,Wind blowing from the south-east,25.0,3 m/s (Gentle breeze)
30.440000000000005,757.3,Wind blowing from the north-northeast,25.8,2 m/s (Light breeze)
27.6,757.3,Wind blowing from the south,26.3,1 m/s (Light air)
26.8,755.8,Wind blowing from the south,25.2,1 m/s (Light air)
27.4,756.3,Wind blowing from the south-east,25.5,1 m/s (Light air)
28.0,757.2,Wind blowing from the south-southeast,25.6,2 m/s (Light breeze)
28.2,756.6,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
30.5,755.2,Wind blowing from the south-southeast,25.4,3 m/s (Gentle breeze)
31.2,755.5,Wind blowing from the south-east,25.0,3 m/s (Gentle breeze)
30.2,756.9,Wind blowing from the east-southeast,26.2,2 m/s (Light breeze)
27.4,756.5,Wind blowing from the south-southeast,25.8,2 m/s (Light breeze)
26.6,755.4,Wind blowing from the south-southeast,25.8,1 m/s (Light air)
27.5,756.0,Wind blowing from the south-southeast,25.1,2 m/s (Light breeze)
27.9,757.0,Wind blowing from the south-southeast,25.3,2 m/s (Light breeze)
29.5,756.1,Wind blowing from the south-east,25.8,2 m/s (Light breeze)
30.8,754.4,Wind blowing from the north,25.3,2 m/s (Light breeze)
31.4,755.0,Wind blowing from the south-southeast,25.2,3 m/s (Gentle breeze)
29.8,756.9,Wind blowing from the east-southeast,26.9,2 m/s (Light breeze)
27.6,756.1,Wind blowing from the south-southwest,25.7,2 m/s (Light breeze)
27.0,755.0,Wind blowing from the north-northwest,25.8,1 m/s (Light air)
27.1,756.0,Wind blowing from the south,25.6,1 m/s (Light air)
29.6,756.5,Wind blowing from the east,26.3,2 m/s (Light breeze)
30.2,755.2,Wind blowing from the east,25.9,2 m/s (Light breeze)
31.2,754.0,Wind blowing from the east-southeast,24.9,2 m/s (Light breeze)
34.9,754.5,Wind blowing from the south-east,25.3,3 m/s (Gentle breeze)
32.7,756.5,Wind blowing from the east-southeast,25.5,2 m/s (Light breeze)
27.8,756.2,Wind blowing from the north-west,25.1,2 m/s (Light breeze)
27.5,755.2,Wind blowing from the south,25.2,1 m/s (Light air)
27.6,755.8,Wind blowing from the west-southwest,25.5,2 m/s (Light breeze)
28.8,756.1,Wind blowing from the south-southwest,25.6,2 m/s (Light breeze)
29.8,755.5,Wind blowing from the east-southeast,25.7,2 m/s (Light breeze)
30.2,754.4,Wind blowing from the east-northeast,25.1,2 m/s (Light breeze)
34.8,754.5,Wind blowing from the south-east,23.9,3 m/s (Gentle breeze)
32.3,756.4,Wind blowing from the east-northeast,25.6,2 m/s (Light breeze)
27.8,756.3,Wind blowing from the south-southeast,25.0,2 m/s (Light breeze)
27.6,755.6,Wind blowing from the north-west,25.5,1 m/s (Light air)
28.2,755.8,Wind blowing from the south-southeast,25.8,2 m/s (Light breeze)
29.0,756.4,Wind blowing from the south-east,25.5,2 m/s (Light breeze)
29.9,755.5,Wind blowing from the south-southeast,25.9,2 m/s (Light breeze)
31.4,754.6,Wind blowing from the north-east,25.7,2 m/s (Light breeze)
34.8,755.2,Wind blowing from the east-northeast,25.2,2 m/s (Light breeze)
32.8,757.3,Wind blowing from the north-northeast,25.2,3 m/s (Gentle breeze)
27.4,757.4,Wind blowing from the south-west,24.7,2 m/s (Light breeze)
27.3,756.3,Wind blowing from the south-southeast,24.7,2 m/s (Light breeze)
28.3,756.6,Wind blowing from the east-southeast,25.6,2 m/s (Light breeze)
28.9,757.6,Wind blowing from the south-southeast,25.7,2 m/s (Light breeze)
29.5,757.0,Wind blowing from the south-east,23.0,3 m/s (Gentle breeze)
30.3,755.6,Wind blowing from the north-northeast,23.9,3 m/s (Gentle breeze)
33.4,756.1,Wind blowing from the east-northeast,24.7,2 m/s (Light breeze)
32.5,757.5,Wind blowing from the north-east,24.6,3 m/s (Gentle breeze)
27.6,757.0,Wind blowing from the south-east,24.9,2 m/s (Light breeze)
27.8,756.2,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
28.5,756.1,Wind blowing from the east-northeast,25.8,2 m/s (Light breeze)
29.4,757.4,Wind blowing from the south-east,26.2,2 m/s (Light breeze)
30.2,756.3,Wind blowing from the east-northeast,25.7,2 m/s (Light breeze)
32.2,755.0,Wind blowing from the east,24.7,2 m/s (Light breeze)
34.0,755.2,Wind blowing from the south-southeast,25.8,3 m/s (Gentle breeze)
33.1,757.3,Wind blowing from the south-southeast,25.2,3 m/s (Gentle breeze)
27.7,757.5,Wind blowing from the south,24.6,2 m/s (Light breeze)
27.6,756.1,Wind blowing from the east,25.2,1 m/s (Light air)
28.4,756.4,Wind blowing from the south-east,25.4,2 m/s (Light breeze)
29.2,757.0,Wind blowing from the east,25.4,2 m/s (Light breeze)
30.2,755.8,Wind blowing from the south-southeast,25.4,3 m/s (Gentle breeze)
31.2,754.9,Wind blowing from the north-east,24.7,2 m/s (Light breeze)
34.4,755.6,Wind blowing from the south-east,23.2,3 m/s (Gentle breeze)
34.2,756.7,Wind blowing from the south-southeast,23.9,3 m/s (Gentle breeze)
27.4,756.7,"Calm, no wind",25.0,0 m/s (Calm)
27.4,755.7,"Calm, no wind",24.7,0 m/s (Calm)
28.6,756.4,Wind blowing from the south-southeast,25.2,2 m/s (Light breeze)
29.2,757.0,Wind blowing from the south-east,24.6,2 m/s (Light breeze)
29.2,755.7,Wind blowing from the south-east,25.4,2 m/s (Light breeze)
30.4,754.8,Wind blowing from the south-east,26.0,2 m/s (Light breeze)
33.6,755.3,Wind blowing from the south-east,25.9,3 m/s (Gentle breeze)
32.6,757.1,Wind blowing from the south-southeast,26.5,3 m/s (Gentle breeze)
27.2,756.4,Wind blowing from the south-east,25.9,1 m/s (Light air)
26.0,755.8,Wind blowing from the south,24.9,1 m/s (Light air)
26.2,756.5,Wind blowing from the south,24.6,1 m/s (Light air)
26.8,757.6,Wind blowing from the south,24.6,1 m/s (Light air)
27.4,756.7,Wind blowing from the south-east,25.5,1 m/s (Light air)
26.8,754.9,Wind blowing from the north-east,25.2,1 m/s (Light air)
25.8,756.3,Wind blowing from the south-east,24.2,1 m/s (Light air)
32.4,757.2,Wind blowing from the south-southeast,25.2,3 m/s (Gentle breeze)
28.0,756.5,Wind blowing from the south,25.6,2 m/s (Light breeze)
27.3,755.8,Wind blowing from the south,25.4,1 m/s (Light air)
28.0,755.8,Wind blowing from the south-southeast,25.0,2 m/s (Light breeze)
29.1,756.7,"Calm, no wind",25.6,0 m/s (Calm)
29.2,756.1,Wind blowing from the south-east,24.5,2 m/s (Light breeze)
